station_id,region,capacity,power_level,operational_cost,location_x,location_y,renewable_sourced
0,urban_dense,15,22.0,0.04888000000000001,4.200802812873225,-3.0990057951307346,0.7162034635132615
1,urban_dense,11,50.0,0.078,-11.739589263613455,-1.4835571564206196,0.35078581877040715
2,urban_dense,10,22.0,0.04888000000000001,-2.695480194968299,-4.696683933949524,0.24330807845291763
3,urban_dense,8,11.0,0.03744,4.285733584407858,-2.2901806638313125,0.7166703821731222
4,urban_dense,19,22.0,0.04888000000000001,5.650361863048574,6.463231549221876,0.7751831634645194
5,urban_dense,19,7.0,0.033280000000000004,3.8684478859720377,-4.0077718422295865,0.2425248100449803
6,urban_dense,12,7.0,0.033280000000000004,9.090033625513875,-8.971852438969208,0.5475689236801834
7,urban_dense,13,7.0,0.033280000000000004,-1.7127308777510613,1.1296027530037758,0.12431579457253611
8,urban_dense,19,50.0,0.078,-2.2780467445266206,8.436755621396905,0.5793068894080156
9,urban_dense,11,7.0,0.033280000000000004,0.6367754958879251,-3.9910593697508085,0.22801137972889554
10,urban_dense,19,22.0,0.04888000000000001,-1.5539124849031303,0.3112926591933972,0.7098998544602841
11,urban_dense,11,22.0,0.04888000000000001,-4.88597927553247,9.134187387564788,0.5185515994152196
12,urban_dense,14,11.0,0.03744,-0.14555342696272008,-3.8437727351488977,0.10415193851116065
13,urban_dense,12,50.0,0.078,2.2722202744470517,-0.7299137302391678,0.7461190151873887
14,urban_dense,13,11.0,0.03744,-6.060860695151154,-14.202630494081799,0.3696126153721816
15,urban_dense,16,7.0,0.033280000000000004,3.0814069616604467,4.09855204779205,0.7653309077523082
16,urban_dense,16,22.0,0.04888000000000001,-5.1807298062509055,3.888439096361314,0.7756007982886147
17,urban_sparse,4,50.0,0.06,-8.32476720590216,11.47393997965763,0.5160410887105573
18,urban_sparse,11,22.0,0.0376,-12.326111470717459,-3.577102565475654,0.6626993501188344
19,urban_sparse,8,22.0,0.0376,-3.654112429912119,13.023110212446241,0.7954709799060391
20,urban_sparse,7,11.0,0.0288,2.4815313981974265,4.99743027089968,0.36446308942061734
21,urban_sparse,11,11.0,0.0288,-0.18597270771620117,6.725681126643798,0.33246615715071404
22,urban_sparse,10,7.0,0.0256,1.0559699117569126,6.896714902451218,0.780286642448109
23,urban_sparse,10,11.0,0.0288,-0.49938779915897963,-5.34204616278649,0.46879788979709547
24,urban_sparse,4,7.0,0.0256,12.38258168151098,5.603397362613783,0.3816149563205844
25,urban_sparse,6,22.0,0.0376,6.459242950229065,2.0778416358632597,0.23567680808090335
26,urban_sparse,7,22.0,0.0376,5.426161538385685,1.4029783434672152,0.6950922991212882
27,urban_sparse,7,22.0,0.0376,4.98918551345736,4.555995275553465,0.7557285689368418
28,urban_sparse,9,22.0,0.0376,0.6795411319099434,-12.751153666715123,0.3262433270212588
29,suburban,5,11.0,0.0288,-4.982348128482653,21.663895932941937,0.7318770164290079
30,suburban,2,11.0,0.0288,-5.444324345547155,22.24252484707665,0.7556093952054665
31,suburban,3,11.0,0.0288,-17.228538281244592,7.347060375144358,0.4810933769208665
32,suburban,4,22.0,0.0376,10.486044596519221,-13.79911218190853,0.5600553268536383
33,suburban,7,7.0,0.0256,-1.5938117811152355,18.821146383483768,0.441144819218496
34,suburban,5,11.0,0.0288,18.498139911130025,10.067979345548922,0.1666045501307258
35,suburban,3,7.0,0.0256,-18.99156293346562,2.9385931002506087,0.18246806774758845
36,suburban,2,11.0,0.0288,-16.67539686466296,14.44214931354519,0.1112791529550662
37,suburban,5,11.0,0.0288,10.944034287759694,11.90777860906832,0.6708101660346352
38,suburban,5,11.0,0.0288,3.64197103181188,23.095417915999125,0.11608685945716758
39,suburban,7,22.0,0.0376,5.270772316460802,-14.796104580586043,0.18005479115384707
40,suburban,5,7.0,0.0256,19.49921637440599,-11.08348834060273,0.7013506581809061
41,rural,2,50.0,0.048,37.14790514978884,41.051611958429774,0.6706264326891819
42,rural,4,7.0,0.02048,-15.128107683552827,34.184949541423876,0.37913605813453766
43,rural,2,11.0,0.02304,-49.67746784985424,-36.34592850937369,0.367738452914119
44,rural,4,11.0,0.02304,-18.5168387403855,-6.788392978433819,0.7356166984279645
45,rural,4,11.0,0.02304,29.054429992207247,48.33163463003183,0.6208601338146618
46,highway,14,146.6091742129119,0.13728733937032953,22.373575912414353,-22.373575912414363,0.06905365235425645
47,highway,18,80.41183922690034,0.08432947138152028,15.844259741376334,15.844259741376334,0.14506883102143592
48,urban_sparse,6,22.0,0.0376,-1.7023074190604772,-10.821085861246681,0.18931447085028433
49,urban_sparse,9,7.0,0.0256,-5.241190241467144,13.272171553813081,0.497524442823423
