user_id,station_id,start_time,end_time,utility,charge_needed,algorithm
0,10,237,240,96.57701954979275,17.026445149193748,Time Window Constrained
0,11,92,96,75.81581676584783,36.7465005279211,Time Window Constrained
0,13,116,118,149.03744295788624,25.053988884671824,Time Window Constrained
1,8,322,325,140.88240309687967,49.0255759366112,Time Window Constrained
1,10,285,291,72.70012993384206,74.92846842629379,Time Window Constrained
2,9,260,263,66.8141085894747,49.39088261454817,Time Window Constrained
3,3,180,182,66.76215638405844,14.93659932900819,Time Window Constrained
3,9,61,63,141.59277461037811,23.246611823449815,Time Window Constrained
3,9,274,276,51.4470641502865,19.255556885068426,Time Window Constrained
3,4,85,88,136.77820443927635,44.77007440493476,Time Window Constrained
4,2,272,278,93.99317532448607,73.8605488176303,Time Window Constrained
4,1,276,282,130.30595427328763,54.47078160029769,Time Window Constrained
5,13,254,257,72.74908908690624,34.70524973227224,Time Window Constrained
5,12,333,335,122.75933433047433,24.862753327760462,Time Window Constrained
6,1,322,327,67.67450724419348,64.20844192566553,Time Window Constrained
7,11,80,81,64.70998526498622,15.752911547860364,Time Window Constrained
7,8,233,237,130.3754940584316,23.014120256388306,Time Window Constrained
7,5,328,330,115.394542428067,32.40311822935359,Time Window Constrained
8,9,305,307,103.91334031560382,24.368756258798932,Time Window Constrained
8,6,65,67,72.37099171728426,21.181792077705953,Time Window Constrained
8,7,249,254,115.65260298866504,29.396870471978772,Time Window Constrained
9,14,298,301,86.03211376915627,44.660423299729786,Time Window Constrained
9,9,248,255,88.04219080879669,46.54806084937037,Time Window Constrained
9,1,154,159,111.90930952711196,75.40933629938078,Time Window Constrained
10,11,139,144,72.59864855231814,58.71745582573021,Time Window Constrained
11,11,187,189,112.03195833376168,27.51937795781812,Time Window Constrained
11,8,31,33,87.27587770882381,38.67758611292691,Time Window Constrained
11,0,322,324,105.07432808910721,26.79149013384148,Time Window Constrained
11,3,282,287,129.37521363263204,41.55507088991491,Time Window Constrained
11,12,331,336,69.1828472216302,43.99460018545236,Time Window Constrained
12,11,43,46,53.25718653027971,39.37493792431663,Time Window Constrained
12,4,18,22,142.06000678574586,50.58408436245451,Time Window Constrained
12,11,274,279,137.5677357511523,43.70636143416222,Time Window Constrained
12,13,326,329,104.53628521336417,55.213621026153525,Time Window Constrained
12,14,225,229,112.00098154915673,53.26632237432137,Time Window Constrained
13,12,159,167,49.74223128606848,78.7963548053716,Time Window Constrained
13,4,91,94,65.85554446825893,44.85025431117588,Time Window Constrained
13,2,301,303,58.292715250972606,34.870130490496386,Time Window Constrained
13,3,259,261,107.46922413562962,25.395903638307402,Time Window Constrained
14,0,250,252,135.74583300227243,21.280181732418107,Time Window Constrained
14,7,225,229,61.19574774678725,32.83345382594405,Time Window Constrained
14,9,175,177,91.1770366396279,19.220577982041497,Time Window Constrained
14,3,132,133,110.65258670505337,7.918061574640593,Time Window Constrained
15,0,282,286,104.55043971793935,34.57824165297535,Time Window Constrained
15,11,42,48,88.17328238428492,53.24527069542522,Time Window Constrained
15,2,158,161,94.24913136680374,42.676761903037345,Time Window Constrained
15,11,17,19,86.27630727487937,32.373894159363545,Time Window Constrained
16,0,330,334,50.41344084023208,65.85299739487105,Time Window Constrained
16,12,275,278,81.11206807596474,44.51285306227482,Time Window Constrained
16,2,109,113,107.57193053312042,51.61011952278722,Time Window Constrained
17,14,91,99,69.41729402635978,77.06814355889473,Time Window Constrained
17,7,202,204,84.34206161306739,37.016344024662345,Time Window Constrained
17,14,38,41,90.9838478109594,38.96628645993326,Time Window Constrained
18,5,31,34,90.68733839449902,30.962399565230797,Time Window Constrained
18,9,106,110,67.5364945625349,38.4409205296936,Time Window Constrained
18,14,322,325,80.63445752021462,43.98733080916684,Time Window Constrained
19,2,57,61,108.97709531562623,47.54497349946182,Time Window Constrained
19,7,164,168,122.36622446252625,37.68770468015969,Time Window Constrained
19,8,105,107,140.15391781695797,35.016393678512394,Time Window Constrained
19,14,41,43,134.4749220975798,36.80933221383237,Time Window Constrained
